City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,18.41,light rain
80,Khatanga,RU,71.9667,102.5,46.85,53,100,19.17,overcast clouds
81,Ostrovnoy,RU,68.0531,39.5131,49.71,96,100,13.42,overcast clouds
82,Georgetown,MY,5.4112,100.3354,84.13,87,20,4.61,haze
83,Clyde River,CA,70.4692,-68.5914,34.03,100,100,6.91,overcast clouds
84,Yenagoa,NG,4.9247,6.2642,72.48,87,84,3.98,broken clouds
85,Saskylakh,RU,71.9167,114.0833,42.75,64,100,15.5,overcast clouds
86,Vicksburg,US,32.3526,-90.8779,88.03,62,0,8.05,clear sky
87,Ilulissat,GL,69.2167,-51.1,50.02,71,75,3.44,broken clouds
88,Hithadhoo,MV,-0.6,73.0833,80.22,75,100,4.36,overcast clouds
89,Lixourion,GR,38.2019,20.4314,75.96,52,0,6.69,clear sky
90,Norman Wells,CA,65.282,-126.8329,72.34,34,9,10.27,clear sky
91,Tuatapere,NZ,-46.1333,167.6833,44.37,82,87,3.42,overcast clouds
92,Madaba,JO,31.5833,35.6667,75.7,46,0,4.21,clear sky
93,Teya,RU,60.3778,92.6267,55.09,99,100,3.38,light rain
94,Saldanha,ZA,-33.0117,17.9442,54.81,71,0,17.0,clear sky
95,Yagodnoye,RU,62.55,149.6667,61.68,81,100,6.17,overcast clouds
96,Kaitangata,NZ,-46.2817,169.8464,44.94,78,100,6.13,overcast clouds
97,Bethel,US,41.3712,-73.414,82.49,72,0,4.61,clear sky
98,Dikson,RU,73.5069,80.5464,46.74,74,100,13.89,overcast clouds
99,Afua,BR,-0.1567,-50.3867,74.16,94,99,4.63,overcast clouds
100,Oistins,BB,13.0667,-59.5333,80.69,89,40,12.66,scattered clouds
101,San Patricio,US,28.017,-97.5169,89.19,64,0,18.7,clear sky
102,Xining,CN,36.6167,101.7667,56.53,62,0,2.66,clear sky
103,Qaanaaq,GL,77.484,-69.3632,41.97,73,14,3.06,few clouds
104,Holland,US,42.7875,-86.1089,82.45,70,0,4.61,clear sky
105,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,90,0,13.96,clear sky
106,Mugla,TR,37.2303,28.3557,64.33,53,0,5.46,clear sky
107,Kirakira,SB,-10.4544,161.9205,84.52,70,33,6.85,scattered clouds
108,Mehamn,NO,71.0357,27.8492,51.75,100,100,1.14,overcast clouds
109,Lichinga,MZ,-13.3128,35.2406,53.69,87,0,11.5,clear sky
110,Zhanaozen,KZ,43.3,52.8,86.4,27,0,5.21,clear sky
111,Tommot,RU,58.9564,126.2925,69.19,73,100,1.81,overcast clouds
112,Kendari,ID,-3.945,122.4989,80.64,82,37,1.16,moderate rain
113,Half Moon Bay,US,37.4636,-122.4286,82.89,74,100,23.02,mist
114,Nikolskoye,RU,59.7035,30.7861,57.79,94,86,8.16,overcast clouds
115,Bac Lieu,VN,9.285,105.7244,82.87,81,100,10.18,overcast clouds
116,Oranjestad,AW,12.524,-70.027,80.38,84,0,24.9,clear sky
117,Tokur,RU,53.1333,132.9,52.48,94,100,3.67,overcast clouds
118,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,58.93,83,64,6.24,broken clouds
119,Klaksvik,FO,62.2266,-6.589,50.92,96,76,10.13,broken clouds
120,Tombouctou,ML,20.0,-3.0,86.61,43,97,3.47,overcast clouds
121,Carnarvon,AU,-24.8667,113.6333,67.37,45,71,11.23,broken clouds
122,Barrow,US,71.2906,-156.7887,44.62,70,0,17.27,clear sky
123,Vilyuysk,RU,63.7553,121.6247,60.6,62,99,10.42,overcast clouds
124,Dwarka,IN,22.2394,68.9678,81.82,83,100,15.84,overcast clouds
125,Ballitoville,ZA,-29.539,31.2144,65.25,51,0,8.05,clear sky
126,Omsukchan,RU,62.5333,155.8,52.25,88,100,7.92,overcast clouds
127,Vestmannaeyjar,IS,63.4427,-20.2734,52.27,86,86,11.65,overcast clouds
128,Sitka,US,57.0531,-135.33,55.29,82,100,12.66,overcast clouds
129,Maragogi,BR,-9.0122,-35.2225,73.56,83,0,9.95,clear sky
130,Tebingtinggi,ID,3.3285,99.1625,76.62,94,100,1.7,overcast clouds
131,Canton,CN,23.1167,113.25,88.61,63,37,8.99,scattered clouds
132,Umm Lajj,SA,25.0213,37.2685,84.76,67,85,9.04,overcast clouds
133,Hatillo,PR,18.4863,-66.8254,82.11,88,0,7.0,clear sky
134,Ugoofaaru,MV,5.6667,73.0,81.1,79,100,14.61,overcast clouds
135,Ewa Beach,US,21.3156,-158.0072,89.55,51,0,12.66,clear sky
136,Tukrah,LY,32.5341,20.5791,75.92,66,0,18.9,clear sky
137,Salalah,OM,17.0151,54.0924,75.29,100,100,5.75,light intensity drizzle
138,Cidreira,BR,-30.1811,-50.2056,57.85,90,16,5.59,few clouds
139,Staryy Nadym,RU,65.6118,72.6842,61.21,58,100,9.17,overcast clouds
140,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,17,6.8,few clouds
141,Garowe,SO,8.4054,48.4845,73.22,57,100,27.36,overcast clouds
142,Richards Bay,ZA,-28.783,32.0377,64.04,60,4,3.04,clear sky
143,Puerto Escondido,MX,15.85,-97.0667,82.85,81,52,4.32,broken clouds
144,Ahipara,NZ,-35.1667,173.1667,59.65,78,63,10.27,broken clouds
145,Lorengau,PG,-2.0226,147.2712,83.28,71,100,6.62,overcast clouds
146,Sheopur,IN,25.6667,76.7,82.6,77,30,9.19,scattered clouds
147,Parry Sound,CA,45.3501,-80.033,73.15,76,100,9.62,overcast clouds
148,Tahe,CN,52.3333,124.7333,78.17,59,1,2.04,clear sky
149,Pevek,RU,69.7008,170.3133,32.43,97,100,13.29,overcast clouds
150,Yulara,AU,-25.2406,130.9889,60.31,34,0,14.54,clear sky
151,Parfenyevo,RU,58.484,43.4088,52.77,86,100,8.3,overcast clouds
152,Wana,PK,32.2989,69.5725,80.02,63,0,1.16,clear sky
153,Kieta,PG,-6.2167,155.6333,84.42,67,79,5.06,broken clouds
154,Mandal,IN,25.45,74.5667,79.25,84,100,10.38,moderate rain
155,Belaya Gora,RU,68.5333,146.4167,42.78,77,100,4.18,overcast clouds
156,Xichang,CN,27.8964,102.2634,65.7,95,100,2.01,overcast clouds
157,Varhaug,NO,58.6147,5.6457,71.78,57,96,14.25,overcast clouds
158,Tevaitoa,PF,-16.7833,-151.5,77.43,68,17,6.29,few clouds
159,Phulji,PK,26.8825,67.6807,87.87,72,100,9.31,overcast clouds
160,Churapcha,RU,62.0025,132.4325,79.41,43,43,10.69,scattered clouds
161,Horodnya,UA,51.8909,31.5974,54.68,94,0,7.16,clear sky
162,Srednekolymsk,RU,67.45,153.6833,52.16,45,89,6.44,overcast clouds
163,Cape Town,ZA,-33.9258,18.4232,58.37,79,20,5.99,few clouds
164,Alofi,NU,-19.0595,-169.9187,78.69,69,40,20.71,scattered clouds
165,Koppang,NO,61.5706,11.0555,57.25,85,100,4.72,overcast clouds
166,Dalvik,IS,65.9702,-18.5286,51.73,97,100,6.46,overcast clouds
167,Husavik,IS,66.0449,-17.3389,46.8,94,100,7.07,overcast clouds
168,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,89,86,5.08,overcast clouds
169,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,0,13.8,clear sky
170,Masuguru,TZ,-11.3667,38.4167,69.6,77,84,5.21,broken clouds
171,Mingguang,CN,32.7802,117.9638,80.35,91,100,9.31,moderate rain
172,Katsuura,JP,35.1333,140.3,87.82,77,100,6.62,light rain
173,Coleraine,GB,55.1333,-6.6667,55.0,94,100,10.16,overcast clouds
